ManningN error_total error_H error_Q_split H_p1 H_p2 H_p3 Q_Line2 Q_Line3
8.218459497380767 0.07994551721508454 0.01730010604343042 0.06264541117165412 0.555239248 0.639956617 0.359083009 0.138670039 0.0163299613
12.540818955073691 0.08626585340220361 0.017700381853451685 0.06856547154875192 0.55514354 0.63994733 0.359219184 0.139587648 0.0154123519
9.763510578143157 0.08555500759887241 0.017655067985710874 0.06789993961316154 0.555154546 0.639948383 0.359203769 0.139484491 0.0155155094
11.913358904642417 0.08626585340220361 0.017700381853451685 0.06856547154875192 0.55514354 0.63994733 0.359219184 0.139587648 0.0154123519
13.11904191359878 0.08626585340220361 0.017700381853451685 0.06856547154875192 0.55514354 0.63994733 0.359219184 0.139587648 0.0154123519
5.462726445031675 0.06259374412459559 0.01623043501386209 0.0463633091107335 0.55547976 0.63998108 0.358718908 0.136146313 0.0188536871
1.5 0.06755505164444087 0.010724390579269322 0.05683066106517154 0.556537378 0.640095086 0.356733264 0.120151248 0.0348487526
3.671811160973893 0.03882448425024288 0.01487676646453751 0.02394771778570537 0.555766692 0.640011686 0.358245053 0.132671896 0.0223281037
2.9446939121354703 0.02204687990906292 0.01400862829615964 0.00803825161290328 0.555945656 0.640031191 0.357927842 0.130205929 0.024794071
15.0 0.08626585340220361 0.017700381853451685 0.06856547154875192 0.55514354 0.63994733 0.359219184 0.139587648 0.0154123519
