Cd error_total error_H error_Q_split H_p1 H_p2 H_p3 Q_Line2 Q_Line3
59.97663666472649 0.0018622704545455675 0.0018622704545455675 0.0 0.440428329 0.440250974 0.519328225 0.0571 0.0571
63.178384411165695 0.005813473426573386 0.005813473426573386 0.0 0.440428311 0.440250966 0.52272641 0.0571 0.0571
61.12111894677271 0.0016262828671327642 0.0016262828671327642 0.0 0.440428323 0.440250971 0.520549065 0.0571 0.0571
62.71359918862401 0.0048711526223775455 0.0048711526223775455 0.0 0.440428314 0.440250967 0.522236402 0.0571 0.0571
63.606697713776875 0.00667997657342649 0.00667997657342649 0.0 0.440428309 0.440250964 0.523176994 0.0571 0.0571
55.00075167749007 0.012228522727272768 0.012228522727272768 0.0 0.440428355 0.440250986 0.513937788 0.0571 0.0571
57.634184741214085 0.006709591433566392 0.006709591433566392 0.0 0.440428341 0.440250979 0.516807624 0.0571 0.0571
64.99969885900548 0.009485808216783229 0.009485808216783229 0.0 0.440428301 0.440250961 0.52463603 0.0571 0.0571
58.89013433355636 0.004103509615384758 0.004103509615384758 0.0 0.440428335 0.440250976 0.518162783 0.0571 0.0571
56.273386136059784 0.009552092832167862 0.009552092832167862 0.0 0.440428348 0.440250983 0.515329528 0.0571 0.0571
