Cd error_total error_H error_Q_split H_p1 H_p2 H_p3 Q_Line2 Q_Line3
52.46495499708974 0.005002712699747735 0.005002712699747735 0.0 0.291457676 0.29086987 0.410821296 0.055 0.055
57.26757661674854 0.023100906391926163 0.023100906391926163 0.0 0.291457679 0.290869871 0.418241554 0.055 0.055
54.18167842015906 0.011558066358284297 0.011558066358284297 0.0 0.291457677 0.29086987 0.413508991 0.055 0.055
56.57039878293602 0.020519347855340743 0.020519347855340743 0.0 0.291457678 0.290869871 0.417183115 0.055 0.055
57.910046570665315 0.02546668931875533 0.02546668931875533 0.0 0.291457679 0.290869871 0.419211525 0.055 0.055
45.0 0.030726216989066513 0.030726216989066513 0.0 0.291457672 0.290869867 0.398632063 0.055 0.055
49.809406281334105 0.011336214129520654 0.011336214129520654 0.0 0.291457675 0.290869869 0.406581967 0.055 0.055
59.999548288508215 0.03307547081581165 0.03307547081581165 0.0 0.291457679 0.290869872 0.422331124 0.055 0.055
47.61119973021645 0.020088349705634886 0.020088349705634886 0.0 0.291457674 0.290869868 0.40299359 0.055 0.055
51.341529040958775 0.005340401934398689 0.005340401934398689 0.0 0.291457676 0.290869869 0.40904025 0.055 0.055
