Cd error_total error_H error_Q_split H_p1 H_p2 H_p3 Q_Line2 Q_Line3
598.1309331781194 0.044382545877991064 0.008773936799170377 0.035608609078820685 0.556591151 0.64010988 0.356036594 0.123440664 0.031559334
854.2707528932557 0.04175747294076228 0.008832332802180223 0.032925140138582054 0.55657583 0.640108625 0.3560579 0.123856602 0.0311433964
689.6895157418166 0.043271589170458015 0.008798512502959354 0.03447307666749866 0.556584678 0.640109351 0.356045561 0.123616672 0.0313833266
817.087935089921 0.042056125501006236 0.00882558329793104 0.0332305422030752 0.55657758 0.640108769 0.356055438 0.123809265 0.0311907338
888.53581710215 0.04149870542259891 0.008838174316875707 0.0326605311057232 0.556574314 0.6401085 0.356060031 0.123897616 0.0311023819
200.06013419920566 0.0558480574907487 0.00851047899994947 0.047337578490799226 0.556657912 0.640115318 0.355940594 0.121622674 0.0333773243
999.7329493425234 0.040750958903273696 0.00885499142027531 0.03189596748299839 0.556569936 0.64010814 0.356066166 0.124016124 0.0309838747
409.9294329387892 0.04771054993532975 0.008699287153278057 0.03901126278205169 0.556610539 0.640111464 0.356009369 0.122913253 0.0320867454
725.2357230975977 0.042896849294905726 0.008806759727640502 0.034090089567265225 0.556582495 0.640109172 0.356048571 0.123676035 0.0313239636
397.804873634355 0.048000709380373145 0.008692709577144846 0.0393079998032283 0.556612228 0.640111602 0.356006971 0.122867259 0.0321327397
