Cd error_total error_H error_Q_split H_p1 H_p2 H_p3 Q_Line2 Q_Line3
19.953273329452987 0.024443442358848683 0.007814996478246267 0.016628445880602416 0.486538651 0.758666042 0.47586628 0.0939402119 0.0241302422
26.356768822331393 0.04601654782372995 0.008634462084121507 0.03738208573960844 0.486453253 0.75847689 0.476136165 0.0963905626 0.0216798413
22.24223789354542 0.03303274603603778 0.008140018151218335 0.024892727884819443 0.4865059 0.758591515 0.475973632 0.0949159693 0.0231544722
25.427198377248025 0.04331568163978751 0.008531261928340987 0.034784419711446524 0.486464514 0.758500954 0.476102328 0.0960838644 0.0219865509
27.21339542755375 0.04840144529323366 0.008725751087682159 0.039675694205551504 0.486443178 0.758455543 0.476166059 0.0966613612 0.0214090321
10.0 0.04586179704601313 0.00564371023979072 0.04021808680622241 0.486726128 0.759147211 0.475138726 0.087228431 0.0308421788
16.408284136472208 0.008448455399844084 0.007213769778568928 0.0012346856212751556 0.486595183 0.75880228 0.47566669 0.092122684 0.0259477962
14.34369946003405 0.016491089009919725 0.006790671366974345 0.00970041764294538 0.486632097 0.758896929 0.475525471 0.0908315838 0.0272389129
29.99751063813934 0.05554150392367507 0.009000002970957936 0.04654150095271714 0.486412283 0.758391044 0.476255638 0.0974719747 0.0205983762
17.65245097132994 0.014501063444611453 0.007440624162679445 0.007060439281932007 0.486574455 0.758751122 0.475742153 0.0928105252 0.0252599444
