ManningN error_total error_H error_Q_split H_p1 H_p2 H_p3 Q_Line2 Q_Line3
1.0474300331199142 0.03190214597430733 0.0059168379868979395 0.02598530798740939 0.518171448 0.639456954 0.35478912 0.0952242545 0.0241021883
1.3996222852282267 0.021736734832753964 0.007738994741501312 0.013997740091252653 0.517942224 0.639187236 0.355283575 0.0999949661 0.0193310909
1.173323084144998 0.016331054121333115 0.0066395049575071405 0.009691549163825974 0.51808566 0.63935024 0.354985362 0.097168368 0.0221578749
1.3484959107486414 0.016684563758690693 0.007510599181125997 0.009173964577564697 0.5179735 0.639221081 0.355221619 0.0994193889 0.019906698
1.4467367485154563 0.026148276732021355 0.007939816789128803 0.018208459942892552 0.517913936 0.639157647 0.355338145 0.100497396 0.0188286388
0.5 0.14343559781049012 0.0017548029169616379 0.14168079489352847 0.518596446 0.639916045 0.353573139 0.0814198076 0.0379082239
1.6 0.03907833365368098 0.008539430555063694 0.030538903098617287 0.517825212 0.639068073 0.355500403 0.10196874 0.0173572961
1.2494932102362166 0.008039801203935628 0.007034274999999948 0.0010055262039356805 0.518035899 0.639292624 0.355092937 0.098204771 0.0211213899
0.8223093368329095 0.06732560525500182 0.004393421069404952 0.06293218418559687 0.518336527 0.639671784 0.354369846 0.0908159181 0.0285110541
1.2641272828648915 0.007681499291848937 0.0071073369290013625 0.0005741623628475745 0.518026519 0.639281737 0.355112723 0.0983932587 0.0209328895
