ManningN error_total error_H error_Q_split H_p1 H_p2 H_p3 Q_Line2 Q_Line3
2.246495499708974 0.07271016837678729 0.07271016837678729 0.0 0.291473536 0.290885062 0.437727894 0.0555 0.0555
2.7267576616748546 0.1518476679562659 0.1518476679562659 0.0 0.291473567 0.290885099 0.470174225 0.0555 0.0555
2.4181678420159063 0.10160572514718268 0.10160572514718268 0.0 0.291473556 0.290885081 0.449575044 0.0555 0.0555
2.6570398782936016 0.14068248645920967 0.14068248645920967 0.0 0.291473566 0.290885096 0.465596502 0.0555 0.0555
2.791004657066531 0.16204353280067307 0.16204353280067307 0.0 0.291473566 0.290885101 0.474354531 0.0555 0.0555
1.5 0.07110429100084104 0.07110429100084104 0.0 0.291473092 0.290884831 0.382929888 0.0555 0.0555
1.9074078967132646 0.01357807737594631 0.01357807737594631 0.0 0.291473441 0.290884998 0.413483871 0.0555 0.0555
1.7911318199001944 0.017485940622371812 0.017485940622371812 0.0 0.291473378 0.290884963 0.404913816 0.0555 0.0555
1.94267848938681 0.019856360807401403 0.019856360807401403 0.0 0.291473456 0.290885007 0.416057946 0.0555 0.0555
1.8220883364044105 0.011890664676198554 0.011890664676198554 0.0 0.291473397 0.290884973 0.407207906 0.0555 0.0555
