ManningN error_total error_H error_Q_split H_p1 H_p2 H_p3 Q_Line2 Q_Line3
2.246495499708974 0.01046933366814768 0.01046933366814768 0.0 0.481211558 0.75005942 0.497357311 0.0593180649 0.0576819355
2.7267576616748546 0.038123847273492883 0.038123847273492883 0.0 0.481211987 0.750059455 0.510991425 0.0593263912 0.0576736088
2.4181678420159063 0.02001670068008369 0.02001670068008369 0.0 0.481211736 0.750059434 0.502064345 0.0593228878 0.0576771114
2.6570398782936016 0.03393532423358321 0.03393532423358321 0.0 0.481211937 0.750059451 0.508926432 0.0593260704 0.0576739297
2.791004657066531 0.04203034223994485 0.04203034223994485 0.0 0.48121203 0.75005946 0.512917371 0.059326484 0.0576735159
1.5 0.028820937322496125 0.028820937322496125 0.0 0.481210305 0.750059349 0.47959663 0.059247383 0.0577526458
1.9631875514943817 0.007599541607866488 0.007599541607866488 0.0 0.481211185 0.750059395 0.490057878 0.0593033821 0.0576966198
1.7780356856301858 0.016561079056304363 0.016561079056304363 0.0 0.48121088 0.750059378 0.485640152 0.0592872311 0.0577127576
2.091772483488109 0.002228198495449543 0.002228198495449543 0.0 0.481211367 0.750059407 0.493294236 0.0593112823 0.0576887208
2.9997278716682083 0.05500815408171883 0.05500815408171883 0.0 0.481212151 0.750059473 0.519315556 0.0593256359 0.0576743641
