ManningN error_total error_H error_Q_split H_p1 H_p2 H_p3 Q_Line2 Q_Line3
2.4953273329452985 0.034959325740466674 0.034959325740466674 0.0 0.234744423 0.584104933 0.357131531 0.0744274068 0.0745725932
3.135676882233139 0.03826216422621232 0.03826216422621232 0.0 0.234738439 0.584115619 0.384083749 0.0744397383 0.0745602617
2.724223789354542 0.009574553507960132 0.009574553507960132 0.0 0.234742354 0.584108761 0.366526322 0.0744326524 0.0745673476
3.0427198377248024 0.02737058868011825 0.02737058868011825 0.0 0.234739345 0.584114077 0.380054843 0.0744383452 0.0745616548
3.221339542755375 0.04837136825249906 0.04837136825249906 0.0 0.234737592 0.584117034 0.387823258 0.0744409337 0.0745590663
1.5 0.13154613252499095 0.13154613252499095 0.0 0.23475246 0.584088626 0.321384081 0.0743791921 0.0746208079
2.8322378643682047 0.003057853091447652 0.003057853091447652 0.0 0.23474135 0.584110568 0.371061354 0.0744347618 0.0745652382
2.063898873090782 0.0800782028322845 0.0800782028322845 0.0 0.234748118 0.584097738 0.340432988 0.0744134056 0.0745865944
3.499844220383105 0.0816385106164383 0.0816385106164383 0.0 0.234734763 0.584121595 0.400129211 0.0744443241 0.0745556759
2.860096243129815 0.0062451439189189035 0.0062451439189189035 0.0 0.234741089 0.584111033 0.372240357 0.0744352741 0.0745647259
